tile_id,source_image,source_site,source_split,component_idx,bbox_x,bbox_y,bbox_w,bbox_h,bbox_area,pixel_area,aspect_ratio,density,touches_left,touches_right,touches_top,touches_bottom,touches_boundary
Barge_No_1_03__tile_r0004_c0001,Barge_No_1_03.png,Barge_No_1,test,1,576,0,38,8,304,113,4.75,0.3717,False,False,True,False,True
Barge_No_1_03__tile_r0004_c0002,Barge_No_1_03.png,Barge_No_1,test,1,64,0,38,8,304,113,4.75,0.3717,False,False,True,False,True
Barge_No_1_04__tile_r0000_c0001,Barge_No_1_04.png,Barge_No_1,test,1,410,573,106,67,7102,4508,1.582,0.6348,False,False,False,True,True
Barge_No_1_04__tile_r0000_c0002,Barge_No_1_04.png,Barge_No_1,test,1,0,603,4,17,68,47,0.235,0.6912,True,False,False,False,True
Barge_No_1_04__tile_r0001_c0001,Barge_No_1_04.png,Barge_No_1,test,1,410,61,106,321,34026,12439,0.33,0.3656,False,False,False,False,False
Barge_No_1_04__tile_r0001_c0001,Barge_No_1_04.png,Barge_No_1,test,2,195,128,85,368,31280,15666,0.231,0.5008,False,False,False,False,False
Barge_No_1_04__tile_r0001_c0002,Barge_No_1_04.png,Barge_No_1,test,1,0,91,4,17,68,47,0.235,0.6912,True,False,False,False,True
Barge_No_1_04__tile_r0003_c0000,Barge_No_1_04.png,Barge_No_1,test,1,629,592,11,10,110,88,1.1,0.8,False,True,False,False,True
Barge_No_1_04__tile_r0003_c0001,Barge_No_1_04.png,Barge_No_1,test,1,117,592,65,16,1040,487,4.062,0.4683,False,False,False,False,False
Barge_No_1_04__tile_r0004_c0000,Barge_No_1_04.png,Barge_No_1,test,1,629,80,11,10,110,88,1.1,0.8,False,True,False,False,True
Barge_No_1_04__tile_r0004_c0001,Barge_No_1_04.png,Barge_No_1,test,1,117,80,65,16,1040,487,4.062,0.4683,False,False,False,False,False
Barge_No_1_05__tile_r0000_c0001,Barge_No_1_05.png,Barge_No_1,test,1,199,496,58,28,1624,535,2.071,0.3294,False,False,False,False,False
Barge_No_1_05__tile_r0000_c0002,Barge_No_1_05.png,Barge_No_1,test,1,621,575,19,46,874,431,0.413,0.4931,False,True,False,False,True
Barge_No_1_05__tile_r0000_c0003,Barge_No_1_05.png,Barge_No_1,test,1,109,575,30,46,1380,745,0.652,0.5399,False,False,False,False,False
Barge_No_1_05__tile_r0001_c0001,Barge_No_1_05.png,Barge_No_1,test,1,201,0,56,12,672,265,4.667,0.3943,False,False,True,False,True
Barge_No_1_05__tile_r0001_c0002,Barge_No_1_05.png,Barge_No_1,test,1,621,63,19,46,874,431,0.413,0.4931,False,True,False,False,True
Barge_No_1_05__tile_r0001_c0003,Barge_No_1_05.png,Barge_No_1,test,1,109,63,30,46,1380,745,0.652,0.5399,False,False,False,False,False
Barge_No_1_05__tile_r0002_c0000,Barge_No_1_05.png,Barge_No_1,test,1,371,556,121,84,10164,4694,1.44,0.4618,False,False,False,True,True
Barge_No_1_05__tile_r0002_c0000,Barge_No_1_05.png,Barge_No_1,test,2,350,584,22,31,682,365,0.71,0.5352,False,False,False,False,False
Barge_No_1_05__tile_r0003_c0000,Barge_No_1_05.png,Barge_No_1,test,1,174,44,318,431,137058,51925,0.738,0.3789,False,False,False,False,False
Barge_No_1_05__tile_r0003_c0000,Barge_No_1_05.png,Barge_No_1,test,2,350,72,22,31,682,365,0.71,0.5352,False,False,False,False,False
Barge_No_1_06__tile_r0000_c0003,Barge_No_1_06.png,Barge_No_1,test,1,129,523,63,117,7371,4451,0.538,0.6039,False,True,False,True,True
Barge_No_1_06__tile_r0001_c0002,Barge_No_1_06.png,Barge_No_1,test,1,539,130,101,328,33128,18963,0.308,0.5724,False,True,False,False,True
Barge_No_1_06__tile_r0001_c0003,Barge_No_1_06.png,Barge_No_1,test,1,27,11,165,457,75405,44858,0.361,0.5949,False,True,False,False,True
Barge_No_1_14__tile_r0000_c0002,Barge_No_1_14.png,Barge_No_1,test,1,268,487,79,15,1185,732,5.267,0.6177,False,False,False,False,False
Barge_No_1_14__tile_r0003_c0002,Barge_No_1_14.png,Barge_No_1,test,1,466,261,174,379,65946,43111,0.459,0.6537,False,True,False,True,True
Barge_No_1_14__tile_r0003_c0002,Barge_No_1_14.png,Barge_No_1,test,2,454,302,42,33,1386,559,1.273,0.4033,False,False,False,False,False
Barge_No_1_14__tile_r0003_c0003,Barge_No_1_14.png,Barge_No_1,test,1,0,277,137,363,49731,35029,0.377,0.7044,True,False,False,True,True
Barge_No_1_14__tile_r0004_c0002,Barge_No_1_14.png,Barge_No_1,test,1,451,0,177,301,53277,34852,0.588,0.6542,False,False,True,False,True
Barge_No_1_14__tile_r0004_c0002,Barge_No_1_14.png,Barge_No_1,test,2,206,131,9,6,54,20,1.5,0.3704,False,False,False,False,False
Barge_No_1_14__tile_r0004_c0002,Barge_No_1_14.png,Barge_No_1,test,3,344,154,7,18,126,58,0.389,0.4603,False,False,False,False,False
Barge_No_1_14__tile_r0004_c0002,Barge_No_1_14.png,Barge_No_1,test,4,202,162,7,10,70,43,0.7,0.6143,False,False,False,False,False
Barge_No_1_14__tile_r0004_c0002,Barge_No_1_14.png,Barge_No_1,test,5,189,185,10,14,140,52,0.714,0.3714,False,False,False,False,False
Barge_No_1_14__tile_r0004_c0002,Barge_No_1_14.png,Barge_No_1,test,6,220,470,10,33,330,152,0.303,0.4606,False,False,False,False,False
Barge_No_1_14__tile_r0004_c0003,Barge_No_1_14.png,Barge_No_1,test,1,0,0,116,301,34916,23026,0.385,0.6595,True,False,True,False,True
Barge_No_1_15__tile_r0001_c0001,Barge_No_1_15.png,Barge_No_1,test,1,489,213,151,427,64477,48859,0.354,0.7578,False,True,False,True,True
Barge_No_1_15__tile_r0001_c0002,Barge_No_1_15.png,Barge_No_1,test,1,0,213,167,427,71309,50598,0.391,0.7096,True,False,False,True,True
Barge_No_1_15__tile_r0002_c0001,Barge_No_1_15.png,Barge_No_1,test,1,489,0,141,259,36519,26825,0.544,0.7345,False,False,True,False,True
Barge_No_1_15__tile_r0002_c0002,Barge_No_1_15.png,Barge_No_1,test,1,0,0,118,259,30562,22735,0.456,0.7439,True,False,True,False,True
Barge_No_1_15__tile_r0004_c0000,Barge_No_1_15.png,Barge_No_1,test,1,153,625,9,15,135,90,0.6,0.6667,False,False,False,True,True
Barge_No_1_15__tile_r0004_c0002,Barge_No_1_15.png,Barge_No_1,test,1,145,546,79,15,1185,740,5.267,0.6245,False,False,False,False,False
Barge_No_1_15__tile_r0005_c0000,Barge_No_1_15.png,Barge_No_1,test,1,153,113,32,81,2592,592,0.395,0.2284,False,False,False,False,False
Barge_No_1_15__tile_r0005_c0002,Barge_No_1_15.png,Barge_No_1,test,1,145,34,79,15,1185,740,5.267,0.6245,False,False,False,False,False
Corsair_02__tile_r0001_c0000,Corsair_02.png,Corsair,test,1,397,337,172,96,16512,7399,1.792,0.4481,False,False,False,False,False
Corsair_02__tile_r0001_c0000,Corsair_02.png,Corsair,test,2,383,407,8,14,112,68,0.571,0.6071,False,False,False,False,False
Corsair_02__tile_r0001_c0000,Corsair_02.png,Corsair,test,3,423,420,46,21,966,770,2.19,0.7971,False,False,False,False,False
Corsair_02__tile_r0001_c0001,Corsair_02.png,Corsair,test,1,0,337,34,43,1462,972,0.791,0.6648,True,False,False,False,True
Corsair_02__tile_r0001_c0001,Corsair_02.png,Corsair,test,2,0,385,3,5,15,14,0.6,0.9333,True,False,False,False,True
Corsair_02__tile_r0001_c0001,Corsair_02.png,Corsair,test,3,0,398,57,35,1995,695,1.629,0.3484,True,False,False,False,True
Corsair_03__tile_r0001_c0000,Corsair_03.png,Corsair,test,1,217,389,229,86,19694,11977,2.663,0.6082,False,False,False,False,False
Corsican_02__tile_r0001_c0000,Corsican_02.png,Corsican,test,1,302,203,227,105,23835,8936,2.162,0.3749,False,False,False,False,False
Corsican_02__tile_r0001_c0001,Corsican_02.png,Corsican,test,1,0,225,8,10,80,39,0.8,0.4875,True,False,False,False,True
Corsican_02__tile_r0001_c0001,Corsican_02.png,Corsican,test,2,0,291,17,17,289,121,1.0,0.4187,True,False,False,False,True
Corsican_03__tile_r0001_c0000,Corsican_03.png,Corsican,test,1,352,199,205,68,13940,7180,3.015,0.5151,False,False,False,False,False
Corsican_03__tile_r0001_c0001,Corsican_03.png,Corsican,test,1,0,214,45,47,2115,1603,0.957,0.7579,True,False,False,False,True
Corsican_03__tile_r0001_c0001,Corsican_03.png,Corsican,test,2,0,265,1,2,2,2,0.5,1.0,True,False,False,False,True
Corsican_05__tile_r0003_c0002,Corsican_05.png,Corsican,test,1,262,567,103,73,7519,3971,1.411,0.5281,False,False,False,True,True
Corsican_05__tile_r0004_c0002,Corsican_05.png,Corsican,test,1,182,55,183,133,24339,7443,1.376,0.3058,False,False,False,False,False
Corsican_06__tile_r0000_c0002,Corsican_06.png,Corsican,test,1,189,324,180,145,26100,9368,1.241,0.3589,False,False,False,False,False
Haltiner_Barge_01__tile_r0000_c0001,Haltiner_Barge_01.png,Haltiner_Barge,test,1,582,218,28,68,1904,568,0.412,0.2983,False,False,False,False,False
Haltiner_Barge_01__tile_r0000_c0002,Haltiner_Barge_01.png,Haltiner_Barge,test,1,511,146,129,321,41409,33096,0.402,0.7992,False,True,False,False,True
Haltiner_Barge_01__tile_r0000_c0002,Haltiner_Barge_01.png,Haltiner_Barge,test,2,70,218,28,68,1904,568,0.412,0.2983,False,False,False,False,False
Haltiner_Barge_01__tile_r0000_c0003,Haltiner_Barge_01.png,Haltiner_Barge,test,1,0,145,192,326,62592,47035,0.589,0.7515,True,True,False,False,True
Haltiner_Barge_02__tile_r0000_c0000,Haltiner_Barge_02.png,Haltiner_Barge,test,1,0,72,85,102,8670,3487,0.833,0.4022,True,False,False,False,True
Haltiner_Barge_02__tile_r0000_c0000,Haltiner_Barge_02.png,Haltiner_Barge,test,2,155,344,232,296,68672,51169,0.784,0.7451,False,False,False,True,True
Haltiner_Barge_02__tile_r0001_c0000,Haltiner_Barge_02.png,Haltiner_Barge,test,1,183,0,204,156,31824,24709,1.308,0.7764,False,False,True,False,True
Haltiner_Barge_03__tile_r0000_c0002,Haltiner_Barge_03.png,Haltiner_Barge,test,1,213,407,109,124,13516,8439,0.879,0.6244,False,False,False,False,False
Haltiner_Barge_03__tile_r0000_c0002,Haltiner_Barge_03.png,Haltiner_Barge,test,2,306,595,78,26,2028,1138,3.0,0.5611,False,False,False,True,True
Haltiner_Barge_03__tile_r0001_c0002,Haltiner_Barge_03.png,Haltiner_Barge,test,1,213,0,83,19,1577,1048,4.368,0.6646,False,False,True,False,True
Haltiner_Barge_03__tile_r0001_c0002,Haltiner_Barge_03.png,Haltiner_Barge,test,2,306,83,78,26,2028,1138,3.0,0.5611,False,False,False,True,True
Haltiner_Barge_04__tile_r0000_c0000,Haltiner_Barge_04.png,Haltiner_Barge,test,1,585,27,55,53,2915,1585,1.038,0.5437,False,True,False,False,True
Haltiner_Barge_04__tile_r0000_c0000,Haltiner_Barge_04.png,Haltiner_Barge,test,2,132,315,31,31,961,353,1.0,0.3673,False,False,False,False,False
Haltiner_Barge_04__tile_r0000_c0000,Haltiner_Barge_04.png,Haltiner_Barge,test,3,175,325,9,33,297,169,0.273,0.569,False,False,False,False,False
Haltiner_Barge_04__tile_r0000_c0000,Haltiner_Barge_04.png,Haltiner_Barge,test,4,192,529,120,111,13320,3175,1.081,0.2384,False,False,False,True,True
Haltiner_Barge_04__tile_r0000_c0001,Haltiner_Barge_04.png,Haltiner_Barge,test,1,73,12,98,68,6664,2371,1.441,0.3558,False,False,False,False,False
Haltiner_Barge_04__tile_r0000_c0001,Haltiner_Barge_04.png,Haltiner_Barge,test,2,131,144,104,119,12376,8144,0.874,0.658,False,False,False,False,False
Haltiner_Barge_04__tile_r0001_c0000,Haltiner_Barge_04.png,Haltiner_Barge,test,1,191,17,121,122,14762,3253,0.992,0.2204,False,False,False,False,False
Haltiner_Barge_05__tile_r0000_c0001,Haltiner_Barge_05.png,Haltiner_Barge,test,1,165,425,110,116,12760,7409,0.948,0.5806,False,False,False,False,False
Haltiner_Barge_05__tile_r0000_c0001,Haltiner_Barge_05.png,Haltiner_Barge,test,2,246,609,54,31,1674,682,1.742,0.4074,False,False,False,True,True
Haltiner_Barge_05__tile_r0000_c0002,Haltiner_Barge_05.png,Haltiner_Barge,test,1,132,73,130,110,14300,3150,1.182,0.2203,False,False,False,False,False
Haltiner_Barge_05__tile_r0000_c0002,Haltiner_Barge_05.png,Haltiner_Barge,test,2,255,112,26,15,390,148,1.733,0.3795,False,False,False,False,False
Haltiner_Barge_05__tile_r0000_c0002,Haltiner_Barge_05.png,Haltiner_Barge,test,3,240,358,21,33,693,323,0.636,0.4661,False,False,False,False,False
Haltiner_Barge_05__tile_r0000_c0002,Haltiner_Barge_05.png,Haltiner_Barge,test,4,259,373,24,31,744,368,0.774,0.4946,False,False,False,False,False
Haltiner_Barge_05__tile_r0001_c0001,Haltiner_Barge_05.png,Haltiner_Barge,test,1,165,0,85,29,2465,1814,2.931,0.7359,False,False,True,False,True
Haltiner_Barge_05__tile_r0001_c0001,Haltiner_Barge_05.png,Haltiner_Barge,test,2,217,97,83,48,3984,1537,1.729,0.3858,False,False,False,True,True
Haltiner_Barge_06__tile_r0000_c0001,Haltiner_Barge_06.png,Haltiner_Barge,test,1,186,301,22,31,682,455,0.71,0.6672,False,False,False,False,False
Haltiner_Barge_06__tile_r0000_c0001,Haltiner_Barge_06.png,Haltiner_Barge,test,2,209,315,19,23,437,298,0.826,0.6819,False,False,False,False,False
Haltiner_Barge_06__tile_r0000_c0001,Haltiner_Barge_06.png,Haltiner_Barge,test,3,236,523,91,106,9646,2197,0.858,0.2278,False,False,False,False,False
Haltiner_Barge_06__tile_r0000_c0001,Haltiner_Barge_06.png,Haltiner_Barge,test,4,196,566,67,57,3819,1779,1.175,0.4658,False,False,False,False,False
Haltiner_Barge_06__tile_r0000_c0002,Haltiner_Barge_06.png,Haltiner_Barge,test,1,129,0,96,66,6336,2366,1.455,0.3734,False,False,True,False,True
Haltiner_Barge_06__tile_r0000_c0002,Haltiner_Barge_06.png,Haltiner_Barge,test,2,184,130,99,120,11880,8486,0.825,0.7143,False,False,False,False,False
Haltiner_Barge_06__tile_r0001_c0001,Haltiner_Barge_06.png,Haltiner_Barge,test,1,236,11,91,106,9646,2197,0.858,0.2278,False,False,False,False,False
Haltiner_Barge_06__tile_r0001_c0001,Haltiner_Barge_06.png,Haltiner_Barge,test,2,196,54,67,57,3819,1779,1.175,0.4658,False,False,False,False,False
Haltiner_Barge_07__tile_r0000_c0000,Haltiner_Barge_07.png,Haltiner_Barge,test,1,612,98,28,10,280,122,2.8,0.4357,False,True,False,False,True
Haltiner_Barge_07__tile_r0000_c0001,Haltiner_Barge_07.png,Haltiner_Barge,test,1,100,50,124,105,13020,2677,1.181,0.2056,False,False,False,False,False
Haltiner_Barge_07__tile_r0000_c0001,Haltiner_Barge_07.png,Haltiner_Barge,test,2,181,57,89,60,5340,2228,1.483,0.4172,False,False,False,False,False
Haltiner_Barge_07__tile_r0000_c0001,Haltiner_Barge_07.png,Haltiner_Barge,test,3,204,341,19,21,399,237,0.905,0.594,False,False,False,False,False
Haltiner_Barge_07__tile_r0000_c0001,Haltiner_Barge_07.png,Haltiner_Barge,test,4,229,345,29,36,1044,503,0.806,0.4818,False,False,False,False,False
James_Davidson_01__tile_r0000_c0000,James_Davidson_01.png,James_Davidson,test,1,364,617,33,23,759,294,1.435,0.3874,False,False,False,True,True
James_Davidson_01__tile_r0001_c0000,James_Davidson_01.png,James_Davidson,test,1,364,105,189,331,62559,21303,0.571,0.3405,False,False,False,False,False
James_Davidson_01__tile_r0001_c0001,James_Davidson_01.png,James_Davidson,test,1,0,227,41,209,8569,6523,0.196,0.7612,True,False,False,False,True
James_Davidson_01__tile_r0012_c0000,James_Davidson_01.png,James_Davidson,test,1,208,502,80,77,6160,1922,1.039,0.312,False,False,False,False,False
James_Davidson_01__tile_r0013_c0000,James_Davidson_01.png,James_Davidson,test,1,208,0,80,67,5360,1816,1.194,0.3388,False,False,True,False,True
James_Davidson_02__tile_r0009_c0002,James_Davidson_02.png,James_Davidson,test,1,266,411,39,129,5031,2410,0.302,0.479,False,False,False,False,False
James_Davidson_02__tile_r0010_c0002,James_Davidson_02.png,James_Davidson,test,1,267,0,16,28,448,374,0.571,0.8348,False,False,True,False,True
James_Davidson_02__tile_r0010_c0002,James_Davidson_02.png,James_Davidson,test,2,316,581,132,59,7788,2942,2.237,0.3778,False,False,False,True,True
James_Davidson_02__tile_r0011_c0002,James_Davidson_02.png,James_Davidson,test,1,316,69,324,309,100116,31894,1.049,0.3186,False,True,False,False,True
James_Davidson_02__tile_r0011_c0003,James_Davidson_02.png,James_Davidson,test,1,0,181,187,224,41888,13370,0.835,0.3192,True,False,False,False,True
James_Davidson_03__tile_r0008_c0000,James_Davidson_03.png,James_Davidson,test,1,95,502,103,62,6386,1799,1.661,0.2817,False,False,False,False,False
James_Davidson_03__tile_r0009_c0000,James_Davidson_03.png,James_Davidson,test,1,95,0,103,52,5356,1591,1.981,0.2971,False,False,True,False,True
James_Davidson_04__tile_r0000_c0000,James_Davidson_04.png,James_Davidson,test,1,453,605,50,35,1750,655,1.429,0.3743,False,False,False,True,True
James_Davidson_04__tile_r0001_c0000,James_Davidson_04.png,James_Davidson,test,1,379,93,124,95,11780,3123,1.305,0.2651,False,False,False,False,False
James_Davidson_04__tile_r0001_c0000,James_Davidson_04.png,James_Davidson,test,2,97,478,183,162,29646,20853,1.13,0.7034,False,False,False,True,True
James_Davidson_04__tile_r0002_c0000,James_Davidson_04.png,James_Davidson,test,1,0,0,280,448,125440,64548,0.625,0.5146,True,False,True,False,True
Lucinda_van_Valkenburg_05__tile_r0002_c0000,Lucinda_van_Valkenburg_05.png,Lucinda_van_Valkenburg,test,1,2,360,177,81,14337,7046,2.185,0.4915,False,False,False,False,False
Lucinda_van_Valkenburg_06__tile_r0000_c0000,Lucinda_van_Valkenburg_06.png,Lucinda_van_Valkenburg,test,1,1,500,31,17,527,248,1.824,0.4706,False,False,False,False,False
Lucinda_van_Valkenburg_06__tile_r0000_c0000,Lucinda_van_Valkenburg_06.png,Lucinda_van_Valkenburg,test,2,15,538,42,60,2520,1037,0.7,0.4115,False,False,False,False,False
Lucinda_van_Valkenburg_06__tile_r0000_c0000,Lucinda_van_Valkenburg_06.png,Lucinda_van_Valkenburg,test,3,94,540,24,25,600,416,0.96,0.6933,False,False,False,False,False
Lucinda_van_Valkenburg_06__tile_r0000_c0001,Lucinda_van_Valkenburg_06.png,Lucinda_van_Valkenburg,test,1,145,398,88,73,6424,4107,1.205,0.6393,False,False,False,False,False
Lucinda_van_Valkenburg_06__tile_r0000_c0001,Lucinda_van_Valkenburg_06.png,Lucinda_van_Valkenburg,test,2,575,480,44,32,1408,1071,1.375,0.7607,False,False,False,False,False
Lucinda_van_Valkenburg_06__tile_r0000_c0001,Lucinda_van_Valkenburg_06.png,Lucinda_van_Valkenburg,test,3,539,483,17,17,289,162,1.0,0.5606,False,False,False,False,False
Lucinda_van_Valkenburg_06__tile_r0000_c0001,Lucinda_van_Valkenburg_06.png,Lucinda_van_Valkenburg,test,4,566,585,21,55,1155,509,0.382,0.4407,False,False,False,True,True
Lucinda_van_Valkenburg_06__tile_r0000_c0001,Lucinda_van_Valkenburg_06.png,Lucinda_van_Valkenburg,test,5,623,602,17,38,646,370,0.447,0.5728,False,True,False,True,True
Lucinda_van_Valkenburg_06__tile_r0000_c0001,Lucinda_van_Valkenburg_06.png,Lucinda_van_Valkenburg,test,6,584,606,17,34,578,375,0.5,0.6488,False,False,False,True,True
Lucinda_van_Valkenburg_06__tile_r0000_c0002,Lucinda_van_Valkenburg_06.png,Lucinda_van_Valkenburg,test,1,63,480,44,32,1408,1071,1.375,0.7607,False,False,False,False,False
Lucinda_van_Valkenburg_06__tile_r0000_c0002,Lucinda_van_Valkenburg_06.png,Lucinda_van_Valkenburg,test,2,27,483,17,17,289,162,1.0,0.5606,False,False,False,False,False
Lucinda_van_Valkenburg_06__tile_r0000_c0002,Lucinda_van_Valkenburg_06.png,Lucinda_van_Valkenburg,test,3,415,495,38,58,2204,1169,0.655,0.5304,False,False,False,False,False
Lucinda_van_Valkenburg_06__tile_r0000_c0002,Lucinda_van_Valkenburg_06.png,Lucinda_van_Valkenburg,test,4,202,559,16,81,1296,881,0.198,0.6798,False,False,False,True,True
Lucinda_van_Valkenburg_06__tile_r0000_c0002,Lucinda_van_Valkenburg_06.png,Lucinda_van_Valkenburg,test,5,262,568,60,72,4320,1234,0.833,0.2856,False,False,False,True,True
Lucinda_van_Valkenburg_06__tile_r0000_c0002,Lucinda_van_Valkenburg_06.png,Lucinda_van_Valkenburg,test,6,54,585,21,55,1155,509,0.382,0.4407,False,False,False,True,True
Lucinda_van_Valkenburg_06__tile_r0000_c0002,Lucinda_van_Valkenburg_06.png,Lucinda_van_Valkenburg,test,7,111,602,38,38,1444,726,1.0,0.5028,False,False,False,True,True
Lucinda_van_Valkenburg_06__tile_r0000_c0002,Lucinda_van_Valkenburg_06.png,Lucinda_van_Valkenburg,test,8,72,606,17,34,578,375,0.5,0.6488,False,False,False,True,True
Lucinda_van_Valkenburg_06__tile_r0000_c0002,Lucinda_van_Valkenburg_06.png,Lucinda_van_Valkenburg,test,9,265,625,21,15,315,142,1.4,0.4508,False,False,False,True,True
Lucinda_van_Valkenburg_06__tile_r0000_c0002,Lucinda_van_Valkenburg_06.png,Lucinda_van_Valkenburg,test,10,353,630,9,10,90,50,0.9,0.5556,False,False,False,True,True
Lucinda_van_Valkenburg_06__tile_r0001_c0000,Lucinda_van_Valkenburg_06.png,Lucinda_van_Valkenburg,test,1,2,0,16,5,80,43,3.2,0.5375,False,False,True,False,True
Lucinda_van_Valkenburg_06__tile_r0001_c0000,Lucinda_van_Valkenburg_06.png,Lucinda_van_Valkenburg,test,2,15,26,42,60,2520,1037,0.7,0.4115,False,False,False,False,False
Lucinda_van_Valkenburg_06__tile_r0001_c0000,Lucinda_van_Valkenburg_06.png,Lucinda_van_Valkenburg,test,3,94,28,24,25,600,416,0.96,0.6933,False,False,False,False,False
Lucinda_van_Valkenburg_06__tile_r0001_c0001,Lucinda_van_Valkenburg_06.png,Lucinda_van_Valkenburg,test,1,552,73,35,130,4550,1126,0.269,0.2475,False,False,False,False,False
Lucinda_van_Valkenburg_06__tile_r0001_c0001,Lucinda_van_Valkenburg_06.png,Lucinda_van_Valkenburg,test,2,623,90,17,42,714,376,0.405,0.5266,False,True,False,False,True
Lucinda_van_Valkenburg_06__tile_r0001_c0001,Lucinda_van_Valkenburg_06.png,Lucinda_van_Valkenburg,test,3,570,94,31,152,4712,1784,0.204,0.3786,False,False,False,False,False
Lucinda_van_Valkenburg_06__tile_r0001_c0001,Lucinda_van_Valkenburg_06.png,Lucinda_van_Valkenburg,test,4,588,134,52,60,3120,1987,0.867,0.6369,False,True,False,False,True
Lucinda_van_Valkenburg_06__tile_r0001_c0001,Lucinda_van_Valkenburg_06.png,Lucinda_van_Valkenburg,test,5,614,179,26,116,3016,1589,0.224,0.5269,False,True,False,False,True
Lucinda_van_Valkenburg_06__tile_r0001_c0001,Lucinda_van_Valkenburg_06.png,Lucinda_van_Valkenburg,test,6,572,356,61,89,5429,1235,0.685,0.2275,False,False,False,False,False
Lucinda_van_Valkenburg_06__tile_r0001_c0002,Lucinda_van_Valkenburg_06.png,Lucinda_van_Valkenburg,test,1,415,0,38,41,1558,924,0.927,0.5931,False,False,True,False,True
Lucinda_van_Valkenburg_06__tile_r0001_c0002,Lucinda_van_Valkenburg_06.png,Lucinda_van_Valkenburg,test,2,202,47,16,97,1552,1085,0.165,0.6991,False,False,False,False,False
Lucinda_van_Valkenburg_06__tile_r0001_c0002,Lucinda_van_Valkenburg_06.png,Lucinda_van_Valkenburg,test,3,262,56,80,115,9200,1885,0.696,0.2049,False,False,False,False,False
Lucinda_van_Valkenburg_06__tile_r0001_c0002,Lucinda_van_Valkenburg_06.png,Lucinda_van_Valkenburg,test,4,40,73,35,130,4550,1126,0.269,0.2475,False,False,False,False,False
Lucinda_van_Valkenburg_06__tile_r0001_c0002,Lucinda_van_Valkenburg_06.png,Lucinda_van_Valkenburg,test,5,111,90,64,80,5120,1670,0.8,0.3262,False,False,False,False,False
Lucinda_van_Valkenburg_06__tile_r0001_c0002,Lucinda_van_Valkenburg_06.png,Lucinda_van_Valkenburg,test,6,58,94,31,152,4712,1784,0.204,0.3786,False,False,False,False,False
