component_id,filename,split,x,y,bbox_width,bbox_height,bbox_area,pixel_area,aspect_ratio
test_Corsair_02.png_comp_002,Corsair_02.png,test,383,919,8,14,112,68,0.571
test_Corsair_02.png_comp_003,Corsair_02.png,test,423,932,46,21,966,770,2.19
test_Corsair_03.png_comp_001,Corsair_03.png,test,217,901,229,86,19694,11977,2.663
test_Corsican_02.png_comp_001,Corsican_02.png,test,302,715,227,105,23835,8936,2.162
test_Corsican_03.png_comp_001,Corsican_03.png,test,352,711,205,68,13940,7180,3.015
test_Corsican_05.png_comp_001,Corsican_05.png,test,1206,2103,183,133,24339,7443,1.376
test_Corsican_06.png_comp_001,Corsican_06.png,test,1213,324,180,145,26100,9368,1.241
test_Haltiner_Barge_01.png_comp_001,Haltiner_Barge_01.png,test,1535,145,193,326,62918,47054,0.592
test_Haltiner_Barge_01.png_comp_002,Haltiner_Barge_01.png,test,1094,218,28,68,1904,568,0.412
test_Haltiner_Barge_02.png_comp_001,Haltiner_Barge_02.png,test,0,72,85,102,8670,3487,0.833
test_Haltiner_Barge_02.png_comp_002,Haltiner_Barge_02.png,test,155,344,232,324,75168,54281,0.716
test_Haltiner_Barge_03.png_comp_001,Haltiner_Barge_03.png,test,1237,407,109,124,13516,8439,0.879
test_Haltiner_Barge_03.png_comp_002,Haltiner_Barge_03.png,test,1330,595,78,26,2028,1138,3.0
test_Haltiner_Barge_04.png_comp_001,Haltiner_Barge_04.png,test,585,12,98,68,6664,2371,1.441
test_Haltiner_Barge_04.png_comp_002,Haltiner_Barge_04.png,test,643,144,104,119,12376,8144,0.874
test_Haltiner_Barge_04.png_comp_003,Haltiner_Barge_04.png,test,132,315,31,31,961,353,1.0
test_Haltiner_Barge_04.png_comp_004,Haltiner_Barge_04.png,test,175,325,9,33,297,169,0.273
test_Haltiner_Barge_04.png_comp_005,Haltiner_Barge_04.png,test,191,529,121,122,14762,3253,0.992
test_Haltiner_Barge_05.png_comp_001,Haltiner_Barge_05.png,test,1156,73,130,110,14300,3150,1.182
test_Haltiner_Barge_05.png_comp_002,Haltiner_Barge_05.png,test,1279,112,26,15,390,148,1.733
test_Haltiner_Barge_05.png_comp_003,Haltiner_Barge_05.png,test,1264,358,21,33,693,323,0.636
test_Haltiner_Barge_05.png_comp_004,Haltiner_Barge_05.png,test,1283,373,24,31,744,368,0.774
test_Haltiner_Barge_05.png_comp_005,Haltiner_Barge_05.png,test,677,425,110,116,12760,7409,0.948
test_Haltiner_Barge_05.png_comp_006,Haltiner_Barge_05.png,test,729,609,83,48,3984,1537,1.729
test_Haltiner_Barge_06.png_comp_001,Haltiner_Barge_06.png,test,1153,0,96,66,6336,2366,1.455
test_Haltiner_Barge_06.png_comp_002,Haltiner_Barge_06.png,test,1208,130,99,120,11880,8486,0.825
test_Haltiner_Barge_06.png_comp_003,Haltiner_Barge_06.png,test,698,301,22,31,682,455,0.71
test_Haltiner_Barge_06.png_comp_004,Haltiner_Barge_06.png,test,721,315,19,23,437,298,0.826
test_Haltiner_Barge_06.png_comp_005,Haltiner_Barge_06.png,test,748,523,91,106,9646,2197,0.858
test_Haltiner_Barge_06.png_comp_006,Haltiner_Barge_06.png,test,708,566,67,57,3819,1779,1.175
test_Haltiner_Barge_07.png_comp_001,Haltiner_Barge_07.png,test,612,50,124,105,13020,2677,1.181
test_Haltiner_Barge_07.png_comp_002,Haltiner_Barge_07.png,test,693,57,89,60,5340,2228,1.483
test_Haltiner_Barge_07.png_comp_003,Haltiner_Barge_07.png,test,716,341,19,21,399,237,0.905
test_Haltiner_Barge_07.png_comp_004,Haltiner_Barge_07.png,test,741,345,29,36,1044,503,0.806
test_James_Davidson_01.png_comp_001,James_Davidson_01.png,test,364,617,189,331,62559,21303,0.571
test_James_Davidson_01.png_comp_002,James_Davidson_01.png,test,208,6646,80,77,6160,1922,1.039
test_James_Davidson_02.png_comp_001,James_Davidson_02.png,test,1290,5019,39,129,5031,2410,0.302
test_James_Davidson_02.png_comp_002,James_Davidson_02.png,test,1340,5701,383,336,128688,33557,1.14
test_James_Davidson_03.png_comp_001,James_Davidson_03.png,test,95,4598,103,62,6386,1799,1.661
test_James_Davidson_04.png_comp_001,James_Davidson_04.png,test,379,605,124,95,11780,3123,1.305
test_James_Davidson_04.png_comp_002,James_Davidson_04.png,test,0,990,280,482,134960,67188,0.581
test_Lucinda_van_Valkenburg_05.png_comp_001,Lucinda_van_Valkenburg_05.png,test,2,1384,177,81,14337,7046,2.185
test_Lucinda_van_Valkenburg_06.png_comp_001,Lucinda_van_Valkenburg_06.png,test,657,398,88,73,6424,4107,1.205
test_Lucinda_van_Valkenburg_06.png_comp_002,Lucinda_van_Valkenburg_06.png,test,1087,480,44,32,1408,1071,1.375
test_Lucinda_van_Valkenburg_06.png_comp_003,Lucinda_van_Valkenburg_06.png,test,1051,483,17,17,289,162,1.0
test_Lucinda_van_Valkenburg_06.png_comp_004,Lucinda_van_Valkenburg_06.png,test,1439,495,38,58,2204,1169,0.655
test_Lucinda_van_Valkenburg_06.png_comp_005,Lucinda_van_Valkenburg_06.png,test,1,500,31,17,527,248,1.824
test_Lucinda_van_Valkenburg_06.png_comp_006,Lucinda_van_Valkenburg_06.png,test,15,538,42,60,2520,1037,0.7
test_Lucinda_van_Valkenburg_06.png_comp_007,Lucinda_van_Valkenburg_06.png,test,94,540,24,25,600,416,0.96
test_Lucinda_van_Valkenburg_06.png_comp_008,Lucinda_van_Valkenburg_06.png,test,1226,559,16,97,1552,1085,0.165
test_Lucinda_van_Valkenburg_06.png_comp_009,Lucinda_van_Valkenburg_06.png,test,1286,568,80,115,9200,1885,0.696
test_Lucinda_van_Valkenburg_06.png_comp_010,Lucinda_van_Valkenburg_06.png,test,1064,585,35,130,4550,1126,0.269
test_Lucinda_van_Valkenburg_06.png_comp_011,Lucinda_van_Valkenburg_06.png,test,1135,602,64,80,5120,1670,0.8
test_Lucinda_van_Valkenburg_06.png_comp_012,Lucinda_van_Valkenburg_06.png,test,1082,606,31,152,4712,1784,0.204
test_Lucinda_van_Valkenburg_06.png_comp_013,Lucinda_van_Valkenburg_06.png,test,1289,625,46,51,2346,469,0.902
test_Lucinda_van_Valkenburg_06.png_comp_014,Lucinda_van_Valkenburg_06.png,test,1371,630,20,67,1340,691,0.299
test_Lucinda_van_Valkenburg_06.png_comp_015,Lucinda_van_Valkenburg_06.png,test,1100,646,67,60,4020,2238,1.117
test_Lucinda_van_Valkenburg_06.png_comp_016,Lucinda_van_Valkenburg_06.png,test,1126,675,492,780,383760,201398,0.631
test_Lucinda_van_Valkenburg_06.png_comp_017,Lucinda_van_Valkenburg_06.png,test,1084,868,61,89,5429,1235,0.685
test_Lucinda_van_Valkenburg_06.png_comp_018,Lucinda_van_Valkenburg_06.png,test,1129,1212,64,43,2752,1651,1.488
test_Lucinda_van_Valkenburg_06.png_comp_019,Lucinda_van_Valkenburg_06.png,test,1176,1418,18,13,234,118,1.385
test_Lucinda_van_Valkenburg_06.png_comp_020,Lucinda_van_Valkenburg_06.png,test,1162,1437,10,26,260,154,0.385
test_Lucinda_van_Valkenburg_06.png_comp_021,Lucinda_van_Valkenburg_06.png,test,1108,1458,19,26,494,289,0.731
test_Lucinda_van_Valkenburg_06.png_comp_022,Lucinda_van_Valkenburg_06.png,test,1505,1551,26,16,416,163,1.625
test_Lucinda_van_Valkenburg_07.png_comp_001,Lucinda_van_Valkenburg_07.png,test,1655,119,43,38,1634,680,1.132
test_Lucinda_van_Valkenburg_07.png_comp_002,Lucinda_van_Valkenburg_07.png,test,1492,363,27,27,729,425,1.0
test_Lucinda_van_Valkenburg_07.png_comp_003,Lucinda_van_Valkenburg_07.png,test,1442,385,18,23,414,232,0.783
test_Lucinda_van_Valkenburg_07.png_comp_004,Lucinda_van_Valkenburg_07.png,test,1159,405,24,28,672,307,0.857
test_Lucinda_van_Valkenburg_07.png_comp_005,Lucinda_van_Valkenburg_07.png,test,992,413,552,877,484104,212191,0.629
test_Lucinda_van_Valkenburg_07.png_comp_006,Lucinda_van_Valkenburg_07.png,test,1428,412,20,11,220,97,1.818
test_Lucinda_van_Valkenburg_07.png_comp_007,Lucinda_van_Valkenburg_07.png,test,1214,414,26,13,338,161,2.0
test_Lucinda_van_Valkenburg_07.png_comp_008,Lucinda_van_Valkenburg_07.png,test,1060,727,32,56,1792,651,0.571
test_Lucinda_van_Valkenburg_07.png_comp_009,Lucinda_van_Valkenburg_07.png,test,1028,852,21,70,1470,778,0.3
test_Lucinda_van_Valkenburg_07.png_comp_010,Lucinda_van_Valkenburg_07.png,test,1027,946,57,53,3021,889,1.075
test_Lucinda_van_Valkenburg_07.png_comp_011,Lucinda_van_Valkenburg_07.png,test,1516,1157,69,83,5727,1988,0.831
test_Lucinda_van_Valkenburg_07.png_comp_012,Lucinda_van_Valkenburg_07.png,test,1551,1157,83,75,6225,3304,1.107
test_Lucinda_van_Valkenburg_07.png_comp_013,Lucinda_van_Valkenburg_07.png,test,1384,1173,40,49,1960,666,0.816
test_Lucinda_van_Valkenburg_07.png_comp_014,Lucinda_van_Valkenburg_07.png,test,1667,1176,58,48,2784,1334,1.208
test_Lucinda_van_Valkenburg_07.png_comp_015,Lucinda_van_Valkenburg_07.png,test,1359,1189,66,96,6336,1003,0.688
test_Lucinda_van_Valkenburg_07.png_comp_016,Lucinda_van_Valkenburg_07.png,test,1502,1252,11,18,198,141,0.611
test_Lucinda_van_Valkenburg_07.png_comp_017,Lucinda_van_Valkenburg_07.png,test,1244,1311,37,43,1591,725,0.86
test_Lucinda_van_Valkenburg_07.png_comp_018,Lucinda_van_Valkenburg_07.png,test,1595,1324,46,36,1656,951,1.278
test_Lucinda_van_Valkenburg_07.png_comp_019,Lucinda_van_Valkenburg_07.png,test,591,1355,131,35,4585,1367,3.743
test_Lucinda_van_Valkenburg_07.png_comp_020,Lucinda_van_Valkenburg_07.png,test,589,1410,71,47,3337,991,1.511
test_Lucinda_van_Valkenburg_12.png_comp_001,Lucinda_van_Valkenburg_12.png,test,1517,1274,96,121,11616,6337,0.793
test_Lucinda_van_Valkenburg_12.png_comp_002,Lucinda_van_Valkenburg_12.png,test,1309,1306,419,376,157544,83593,1.114
test_Lucinda_van_Valkenburg_12.png_comp_003,Lucinda_van_Valkenburg_12.png,test,200,1308,9,26,234,177,0.346
test_Lucinda_van_Valkenburg_12.png_comp_004,Lucinda_van_Valkenburg_12.png,test,936,1334,90,82,7380,3665,1.098
test_Lucinda_van_Valkenburg_12.png_comp_005,Lucinda_van_Valkenburg_12.png,test,205,1369,27,35,945,606,0.771
test_Lucinda_van_Valkenburg_12.png_comp_006,Lucinda_van_Valkenburg_12.png,test,172,1397,25,27,675,451,0.926
test_Lucinda_van_Valkenburg_12.png_comp_007,Lucinda_van_Valkenburg_12.png,test,899,1416,222,119,26418,16509,1.866
test_Lucinda_van_Valkenburg_12.png_comp_008,Lucinda_van_Valkenburg_12.png,test,10,1422,68,147,9996,6661,0.463
test_Lucinda_van_Valkenburg_12.png_comp_009,Lucinda_van_Valkenburg_12.png,test,880,1530,314,220,69080,40672,1.427
test_Lucinda_van_Valkenburg_12.png_comp_010,Lucinda_van_Valkenburg_12.png,test,1107,1898,23,26,598,382,0.885
test_Lucinda_van_Valkenburg_13.png_comp_001,Lucinda_van_Valkenburg_13.png,test,203,1269,198,147,29106,11571,1.347
test_Lucinda_van_Valkenburg_13.png_comp_002,Lucinda_van_Valkenburg_13.png,test,1504,1304,124,57,7068,1258,2.175
test_Lucinda_van_Valkenburg_13.png_comp_003,Lucinda_van_Valkenburg_13.png,test,1313,1315,415,409,169735,73196,1.015
test_Lucinda_van_Valkenburg_13.png_comp_004,Lucinda_van_Valkenburg_13.png,test,172,1331,85,53,4505,937,1.604
test_Lucinda_van_Valkenburg_13.png_comp_005,Lucinda_van_Valkenburg_13.png,test,1248,1459,75,70,5250,2633,1.071
test_Lucinda_van_Valkenburg_14.png_comp_001,Lucinda_van_Valkenburg_14.png,test,1610,1094,118,94,11092,5427,1.255
test_Lucinda_van_Valkenburg_14.png_comp_002,Lucinda_van_Valkenburg_14.png,test,1306,1170,422,483,203826,88121,0.874
test_Lucinda_van_Valkenburg_14.png_comp_003,Lucinda_van_Valkenburg_14.png,test,1626,1202,37,39,1443,622,0.949
test_Lucinda_van_Valkenburg_14.png_comp_004,Lucinda_van_Valkenburg_14.png,test,898,1251,349,192,67008,19750,1.818
test_Lucinda_van_Valkenburg_14.png_comp_005,Lucinda_van_Valkenburg_14.png,test,1438,1271,54,37,1998,919,1.459
test_Lucinda_van_Valkenburg_14.png_comp_006,Lucinda_van_Valkenburg_14.png,test,319,1662,173,57,9861,3921,3.035
test_Lucinda_van_Valkenburg_14.png_comp_007,Lucinda_van_Valkenburg_14.png,test,281,1716,26,30,780,609,0.867
test_Lucinda_van_Valkenburg_14.png_comp_008,Lucinda_van_Valkenburg_14.png,test,224,1857,82,115,9430,4677,0.713
test_Lucinda_van_Valkenburg_15.png_comp_001,Lucinda_van_Valkenburg_15.png,test,1320,1238,408,538,219504,93408,0.758
test_Lucinda_van_Valkenburg_15.png_comp_002,Lucinda_van_Valkenburg_15.png,test,293,1461,9,37,333,160,0.243
test_Lucinda_van_Valkenburg_15.png_comp_003,Lucinda_van_Valkenburg_15.png,test,240,1518,162,209,33858,12101,0.775
test_Lucinda_van_Valkenburg_15.png_comp_004,Lucinda_van_Valkenburg_15.png,test,1622,1634,105,39,4095,2450,2.692
test_Lucinda_van_Valkenburg_15.png_comp_005,Lucinda_van_Valkenburg_15.png,test,303,1723,19,57,1083,438,0.333
test_Lucinda_van_Valkenburg_15.png_comp_006,Lucinda_van_Valkenburg_15.png,test,207,1737,73,21,1533,281,3.476
test_Lucinda_van_Valkenburg_15.png_comp_007,Lucinda_van_Valkenburg_15.png,test,224,1755,42,9,378,191,4.667
test_Lucinda_van_Valkenburg_16.png_comp_001,Lucinda_van_Valkenburg_16.png,test,1417,998,311,769,239159,146025,0.404
test_Lucinda_van_Valkenburg_16.png_comp_002,Lucinda_van_Valkenburg_16.png,test,1445,1119,57,58,3306,1403,0.983
test_Lucinda_van_Valkenburg_16.png_comp_003,Lucinda_van_Valkenburg_16.png,test,1609,1695,22,92,2024,722,0.239
test_Lucinda_van_Valkenburg_16.png_comp_004,Lucinda_van_Valkenburg_16.png,test,1472,1716,19,53,1007,571,0.358
test_Lucinda_van_Valkenburg_16.png_comp_005,Lucinda_van_Valkenburg_16.png,test,1578,1724,25,96,2400,735,0.26
test_Lucinda_van_Valkenburg_16.png_comp_006,Lucinda_van_Valkenburg_16.png,test,1601,1725,93,105,9765,1327,0.886
test_Lucinda_van_Valkenburg_16.png_comp_007,Lucinda_van_Valkenburg_16.png,test,1507,1735,56,93,5208,1288,0.602
test_Lucinda_van_Valkenburg_16.png_comp_008,Lucinda_van_Valkenburg_16.png,test,1607,1759,87,89,7743,718,0.978
test_Lucinda_van_Valkenburg_16.png_comp_009,Lucinda_van_Valkenburg_16.png,test,1649,1814,71,35,2485,1329,2.029
test_Lucinda_van_Valkenburg_16.png_comp_010,Lucinda_van_Valkenburg_16.png,test,1517,1912,41,39,1599,914,1.051
test_Lucinda_van_Valkenburg_16.png_comp_011,Lucinda_van_Valkenburg_16.png,test,1556,1936,32,39,1248,629,0.821
test_Lucinda_van_Valkenburg_16.png_comp_012,Lucinda_van_Valkenburg_16.png,test,1607,2044,121,63,7623,5554,1.921
test_Lucinda_van_Valkenburg_17.png_comp_001,Lucinda_van_Valkenburg_17.png,test,1328,1086,306,863,264078,136388,0.355
test_Lucinda_van_Valkenburg_17.png_comp_002,Lucinda_van_Valkenburg_17.png,test,1542,1114,54,95,5130,1030,0.568
test_Lucinda_van_Valkenburg_17.png_comp_003,Lucinda_van_Valkenburg_17.png,test,1587,1775,86,55,4730,2001,1.564
test_Lucinda_van_Valkenburg_17.png_comp_004,Lucinda_van_Valkenburg_17.png,test,1496,1890,45,29,1305,389,1.552
test_Lucinda_van_Valkenburg_18.png_comp_001,Lucinda_van_Valkenburg_18.png,test,1336,970,392,694,272048,138016,0.565
test_Lucinda_van_Valkenburg_18.png_comp_002,Lucinda_van_Valkenburg_18.png,test,1649,1052,61,44,2684,1577,1.386
test_Lucinda_van_Valkenburg_18.png_comp_003,Lucinda_van_Valkenburg_18.png,test,1431,1392,59,90,5310,833,0.656
test_Lucinda_van_Valkenburg_18.png_comp_004,Lucinda_van_Valkenburg_18.png,test,1491,1524,25,34,850,231,0.735
test_Lucinda_van_Valkenburg_19.png_comp_001,Lucinda_van_Valkenburg_19.png,test,1321,1294,407,782,318274,153132,0.52
test_Monohansett_02.png_comp_001,Monohansett_02.png,test,1297,344,81,55,4455,1414,1.473
test_Monohansett_02.png_comp_002,Monohansett_02.png,test,661,619,106,86,9116,907,1.233
test_Monohansett_02.png_comp_003,Monohansett_02.png,test,951,1838,59,55,3245,693,1.073
test_Monohansett_03.png_comp_001,Monohansett_03.png,test,1626,720,20,32,640,332,0.625
test_Monohansett_03.png_comp_002,Monohansett_03.png,test,1342,736,11,17,187,138,0.647
test_Monohansett_03.png_comp_003,Monohansett_03.png,test,1349,758,17,29,493,123,0.586
test_Monohansett_03.png_comp_004,Monohansett_03.png,test,1119,868,256,320,81920,16678,0.8
test_Monohansett_03.png_comp_005,Monohansett_03.png,test,1155,1060,18,37,666,375,0.486
test_Monohansett_03.png_comp_006,Monohansett_03.png,test,984,1154,111,119,13209,5699,0.933
test_Monohansett_03.png_comp_007,Monohansett_03.png,test,228,5310,59,67,3953,2516,0.881
test_Monohansett_03.png_comp_008,Monohansett_03.png,test,1344,7300,150,400,60000,39989,0.375
test_Monohansett_03.png_comp_009,Monohansett_03.png,test,1354,7899,81,68,5508,1236,1.191
test_Monohansett_04.png_comp_001,Monohansett_04.png,test,108,2657,123,123,15129,9383,1.0
test_Monohansett_04.png_comp_002,Monohansett_04.png,test,952,2710,100,255,25500,16191,0.392
test_Monohansett_04.png_comp_003,Monohansett_04.png,test,58,2799,237,509,120633,38439,0.466
test_Monohansett_04.png_comp_004,Monohansett_04.png,test,321,3393,11,46,506,214,0.239
test_Monohansett_04.png_comp_005,Monohansett_04.png,test,362,3403,9,30,270,160,0.3
test_Monohansett_04.png_comp_006,Monohansett_04.png,test,330,3448,6,30,180,129,0.2
test_Monohansett_04.png_comp_007,Monohansett_04.png,test,25,3767,32,101,3232,556,0.317
test_Monohansett_04.png_comp_008,Monohansett_04.png,test,715,3819,24,50,1200,376,0.48
test_Monohansett_04.png_comp_009,Monohansett_04.png,test,1015,3837,42,54,2268,601,0.778
test_Monohansett_05.png_comp_001,Monohansett_05.png,test,1530,857,25,86,2150,575,0.291
test_Monohansett_05.png_comp_002,Monohansett_05.png,test,1510,1124,43,42,1806,918,1.024
test_Monohansett_05.png_comp_003,Monohansett_05.png,test,1388,1251,12,70,840,350,0.171
test_Monohansett_05.png_comp_004,Monohansett_05.png,test,1279,1287,23,87,2001,443,0.264
test_Monohansett_05.png_comp_005,Monohansett_05.png,test,1179,1300,46,51,2346,678,0.902
test_Monohansett_05.png_comp_006,Monohansett_05.png,test,1244,1326,35,42,1470,318,0.833
test_Monohansett_05.png_comp_007,Monohansett_05.png,test,1547,1381,11,42,462,210,0.262
test_Monohansett_05.png_comp_008,Monohansett_05.png,test,1350,1415,226,545,123170,36482,0.415
test_Monohansett_05.png_comp_009,Monohansett_05.png,test,1134,1476,24,54,1296,283,0.444
test_Monohansett_05.png_comp_010,Monohansett_05.png,test,1423,1982,115,121,13915,6792,0.95
test_Monrovia_01.png_comp_001,Monrovia_01.png,test,1162,293,30,42,1260,732,0.714
test_Monrovia_01.png_comp_002,Monrovia_01.png,test,513,337,57,21,1197,648,2.714
test_Monrovia_01.png_comp_003,Monrovia_01.png,test,543,362,58,23,1334,608,2.522
test_Monrovia_01.png_comp_004,Monrovia_01.png,test,1211,421,29,36,1044,314,0.806
test_Monrovia_01.png_comp_005,Monrovia_01.png,test,939,543,390,217,84630,33675,1.797
test_Monrovia_01.png_comp_006,Monrovia_01.png,test,671,648,185,99,18315,7832,1.869
test_Monrovia_01.png_comp_007,Monrovia_01.png,test,1288,656,1,1,1,1,1.0
test_Monrovia_01.png_comp_008,Monrovia_01.png,test,403,808,53,52,2756,563,1.019
test_Monrovia_02.png_comp_001,Monrovia_02.png,test,635,555,45,31,1395,574,1.452
test_Monrovia_02.png_comp_002,Monrovia_02.png,test,963,802,632,296,187072,56796,2.135
test_Monrovia_02.png_comp_003,Monrovia_02.png,test,437,878,57,20,1140,673,2.85
test_Monrovia_02.png_comp_004,Monrovia_02.png,test,655,1046,116,120,13920,8032,0.967
test_Monrovia_02.png_comp_005,Monrovia_02.png,test,1302,1114,10,55,550,289,0.182
test_Monrovia_03.png_comp_001,Monrovia_03.png,test,429,379,50,32,1600,611,1.562
test_Monrovia_03.png_comp_002,Monrovia_03.png,test,360,495,433,552,239016,66593,0.784
test_Monrovia_03.png_comp_003,Monrovia_03.png,test,1316,550,47,35,1645,652,1.343
test_Monrovia_03.png_comp_004,Monrovia_03.png,test,1284,616,12,92,1104,869,0.13
test_Monrovia_03.png_comp_005,Monrovia_03.png,test,1415,908,34,35,1190,536,0.971
test_Monrovia_03.png_comp_006,Monrovia_03.png,test,626,937,30,38,1140,302,0.789
test_Monrovia_03.png_comp_007,Monrovia_03.png,test,574,962,19,39,741,250,0.487
test_Monrovia_04.png_comp_001,Monrovia_04.png,test,1136,626,337,580,195460,74917,0.581
test_Monrovia_04.png_comp_002,Monrovia_04.png,test,1340,637,6,31,186,122,0.194
test_Monrovia_04.png_comp_003,Monrovia_04.png,test,453,787,29,33,957,486,0.879
test_Monrovia_04.png_comp_004,Monrovia_04.png,test,633,1119,34,39,1326,592,0.872
test_Monrovia_04.png_comp_005,Monrovia_04.png,test,537,1434,40,38,1520,546,1.053
test_Monrovia_05.png_comp_001,Monrovia_05.png,test,611,180,18,37,666,456,0.486
test_Monrovia_05.png_comp_002,Monrovia_05.png,test,1038,456,13,34,442,334,0.382
test_Monrovia_05.png_comp_003,Monrovia_05.png,test,1491,601,36,48,1728,825,0.75
test_Monrovia_05.png_comp_004,Monrovia_05.png,test,516,607,342,473,161766,51665,0.723
test_Monrovia_05.png_comp_005,Monrovia_05.png,test,944,984,97,166,16102,8165,0.584
test_Monrovia_05.png_comp_006,Monrovia_05.png,test,270,1111,15,15,225,136,1.0
test_Monrovia_05.png_comp_007,Monrovia_05.png,test,218,1120,42,16,672,231,2.625
test_Monrovia_05.png_comp_008,Monrovia_05.png,test,498,1210,22,39,858,623,0.564
test_Monrovia_06.png_comp_001,Monrovia_06.png,test,1497,438,24,35,840,609,0.686
test_Monrovia_06.png_comp_002,Monrovia_06.png,test,1445,522,10,53,530,214,0.189
test_Monrovia_06.png_comp_003,Monrovia_06.png,test,1036,532,483,543,262269,80806,0.89
test_Monrovia_06.png_comp_004,Monrovia_06.png,test,1056,686,46,15,690,182,3.067
test_Monrovia_06.png_comp_005,Monrovia_06.png,test,501,1032,36,39,1404,612,0.923
test_Monrovia_06.png_comp_006,Monrovia_06.png,test,1128,1186,28,36,1008,570,0.778
test_Monrovia_06.png_comp_007,Monrovia_06.png,test,1376,1462,20,42,840,564,0.476
test_Monrovia_07.png_comp_001,Monrovia_07.png,test,550,623,55,24,1320,542,2.292
test_Monrovia_07.png_comp_002,Monrovia_07.png,test,506,833,293,268,78524,26904,1.093
test_Monrovia_07.png_comp_003,Monrovia_07.png,test,916,899,144,141,20304,11015,1.021
test_Monrovia_07.png_comp_004,Monrovia_07.png,test,685,1000,17,18,306,144,0.944
test_Monrovia_07.png_comp_005,Monrovia_07.png,test,282,1189,41,37,1517,645,1.108
test_Monrovia_07.png_comp_006,Monrovia_07.png,test,1171,1332,49,35,1715,728,1.4
test_Monrovia_08.png_comp_001,Monrovia_08.png,test,1225,362,54,29,1566,582,1.862
test_Monrovia_08.png_comp_002,Monrovia_08.png,test,1226,392,35,39,1365,545,0.897
test_Monrovia_08.png_comp_003,Monrovia_08.png,test,1655,548,38,28,1064,425,1.357
test_Monrovia_08.png_comp_004,Monrovia_08.png,test,1562,606,25,19,475,166,1.316
test_Monrovia_08.png_comp_005,Monrovia_08.png,test,592,609,260,146,37960,14783,1.781
test_Monrovia_08.png_comp_006,Monrovia_08.png,test,1272,615,20,17,340,111,1.176
test_Monrovia_08.png_comp_007,Monrovia_08.png,test,1578,617,17,16,272,91,1.062
test_Monrovia_08.png_comp_008,Monrovia_08.png,test,1204,633,78,24,1872,1109,3.25
test_Monrovia_08.png_comp_009,Monrovia_08.png,test,915,644,596,248,147808,64191,2.403
test_Monrovia_08.png_comp_010,Monrovia_08.png,test,1351,1076,47,29,1363,519,1.621
